0,1
21,Acoustic engineers
21,Biomedical engineers
21,Brewers (qualified)
21,Clinical Engineers
21,Energy engineers
21,Food technologists
21,Gas engineers (professional)
21,Heating and ventilating engineers (professional)
21,Materials engineers
21,Mechatronic engineers
21,Nuclear engineers
21,Patent engineers
21,Robotics engineers
21,Traffic engineers
21,Engineering professionals n.e.c.
21,IT project managers
21,IT information managers
21,IT product managers
21,IT service delivery managers
21,IT systems managers
21,IT test managers
21,Network managers
21,Software development managers
21,Technical support managers
21,IT managers n.e.c.
21,Computer analysts and scientists
21,Data architects
21,Data engineers
21,IT systems architects
21,IT business analysts
21,IT solutions architects and designers
21,"IT business analysts, architects and systems designers n.e.c."
21,Computer games designers
21,Computer programmers
21,Software developers
21,Programmers and software development professionals n.e.c.
21,Cyber operational defence specialists
21,Cyber security management and governance specialists
21,Forensic computer specialists
21,Secure system development specialists
21,Cyber security professionals n.e.c.
21,IT quality and testing professionals
21,IT network professionals
21,DevOps engineers
21,IT consultants
21,Webmasters and website managers
21,Information technology professionals n.e.c.
21,Application designers
21,UI and UX designers and researchers
21,Web designers
21,Web design professionals n.e.c.
21,Multimedia animators
21,Graphic and multimedia designers n.e.c.
21,Conservationists
21,Ecologists
21,Heritage officers
21,Conservation professionals n.e.c.
21,Energy managers
21,Environmental and geo-environmental engineers
21,Environmental consultants
21,Environmental scientists
21,Sustainability officers
21,Environmental professionals n.e.c.
21,Laboratory managers
21,Research and development (R&D) design managers
21,Research and development (R&D) managers n.e.c.
21,"Other researchers, unspecified discipline"
22,General practitioners
22,Public health doctors
22,Generalist medical practitioners n.e.c.
22,Anaesthetists
22,Cardiologists
22,Dermatologists
22,Gastroenterologists
22,Gynaecologists and obstetricians
22,Haematologists
22,Homeopaths (medically qualified)
22,Neurologists
22,Oncologists
22,Paediatricians
22,Psychiatrists
22,Radiologists (medically qualified)
22,Rheumatologists
22,Surgeons
22,Specialist medical practitioners n.e.c.
22,Physiotherapists
22,Occupational therapists
22,Speech and language therapists
22,Cognitive behavioural therapists
22,Psychotherapists
22,Psychotherapists and cognitive behaviour therapists n.e.c.
22,Clinical psychologists
22,Counselling psychologists
22,Educational psychologists
22,Forensic psychologists
22,Health psychologists
22,Occupational psychologists
22,Research psychologists
22,Sports psychologists
22,Other psychologists n.e.c.
22,Acupuncturists
22,Art therapists
22,Chiropractors and osteopaths
22,Drama therapists
22,Music therapists
22,Nutritionists
22,Orthoptists
22,Play therapists
22,Psychological wellbeing practitioners
22,Sports therapists
22,Therapy professionals n.e.c.
22,Midwifery nurses
22,Learning disability community nurses
22,Registered community nurses n.e.c.
22,Diabetes specialist nurses
22,Intensive care nurses
22,Theatre nurses
22,Registered specialist nurses n.e.c.
22,Mental health nurse practitioners
22,Registered nurse practitioners n.e.c.
22,Registered mental health nurses
22,Neonatal nurses
22,Paediatric nurses
22,School nurses
22,Other registered nursing professionals
22,Veterinarians
22,Pharmacists
22,Optometrists
22,Dentists and dental surgeons
22,Endodontists
22,Orthodontists
22,Periodontists
22,Dental practitioners n.e.c.
22,Diagnostic radiographers and sonographers
22,Therapeutic radiographers
22,Vascular scientists
22,Medical radiographers n.e.c.
22,Paramedics
22,Podiatrists
22,Audiologists
22,Cardiac physiologists
22,Dietitians
22,Health promotion officers
22,Medical physicists and nuclear medicine scientists
22,Mental health workers
22,Occupational health advisers
22,Operating department practitioners
22,Orthotists and prosthetists
22,Respiratory physiologists
22,Sexual health advisers
22,Other health professionals n.e.c.
23,Higher education teaching professionals
23,Further education teaching professionals
23,Teachers of art
23,Teachers of biology
23,Teachers of chemistry
23,Teachers of design technology
23,Teachers of drama
23,Teachers of economics
23,Teachers of English
23,Teachers of geography
23,Teachers of history
23,Teachers of ICT and computer science
23,Teachers of mathematics
23,Teachers of modern foreign languages
23,Teachers of music
23,Teachers of physical education
23,Teachers of physics
23,Teachers of psychology
23,Teachers of religious education
23,Teachers of science
23,Teachers of sociology
23,Teachers of Welsh
23,Secondary education teaching professionals n.e.c.
23,Primary education teaching professionals
23,Nursery education teaching professionals
23,Special and additional educational needs teachers and coordinators
23,Teachers of the deaf
23,Teachers of the visually impaired
23,Special and additional needs education teaching professionals n.e.c.
23,Teachers of English as a Foreign Language
23,Adult education tutors
23,Dance and drama school principals and owners
23,Private music and singing teachers
23,Private tutors
23,Teaching professionals n.e.c.
23,Heads of further education establishments
23,Heads of higher education establishments
23,Heads of nursery schools
